,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
269,L.McCoy,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
272,M.Crabtree,0,6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
273,M.Crabtree,0,20,16.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
275,J.Allen,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,W.Snead,0,20,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
278,J.Allen,0,-4,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
279,J.Brown,0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,W.Snead,0,12,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
282,M.Andrews,0,8,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
283,M.Crabtree,1,12,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
284,J.Brown,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
286,J.Croom,0,8,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Z.Jones,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
292,J.Croom,0,0,21.0,,0.0,0.0,0.0,0.0,0.0,0.0
294,A.Collins,0,6,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
297,W.Snead,1,13,6.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0
300,C.Clay,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
301,L.McCoy,0,-1,-5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
302,K.Benjamin,0,0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0
307,Z.Jones,0,0,17.0,,0.0,0.0,0.0,0.0,0.0,0.0
316,C.Clay,0,0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0
318,A.Holmes,0,14,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
326,K.Benjamin,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
336,M.Andrews,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
338,M.Murphy,0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0
341,L.Thomas,0,24,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
342,Z.Jones,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
344,L.Thomas,0,0,15.0,,0.0,0.0,0.0,0.0,0.0,0.0
356,M.Williams,0,24,13.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
364,R.Foster,0,0,36.0,,0.0,0.0,0.0,0.0,0.0,0.0
366,J.Kerley,0,0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0
375,Z.Jones,0,10,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
376,J.Croom,0,10,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
379,Z.Jones,0,14,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
381,R.Foster,0,0,29.0,,0.0,0.0,0.0,0.0,0.0,0.0
386,K.Cole,0,31,28.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
390,D.Westbrook,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
391,D.Westbrook,0,6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
393,T.Yeldon,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
394,D.Moncrief,0,0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0
401,R.Ellison,0,16,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
403,L.Fournette,0,11,-2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
405,D.Moncrief,0,0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0
407,O.Beckham,0,24,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
409,O.Beckham,0,3,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
410,O.Beckham,0,13,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
421,T.Yeldon,0,7,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
422,D.Westbrook,0,4,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
424,L.Fournette,0,3,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
426,A.Seferian-Jenkins,0,13,-1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
427,K.Cole,0,10,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
430,N.Paul,0,0,21.0,,0.0,0.0,0.0,0.0,0.0,0.0
431,L.Fournette,0,0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
435,W.Gallman,0,-1,-4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
436,S.Shepard,0,5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
437,O.Beckham,0,7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
439,D.Westbrook,0,20,18.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
440,D.Westbrook,0,17,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
443,T.Yeldon,1,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
447,S.Shepard,0,12,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
450,S.Shepard,0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,S.Shepard,0,16,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
458,O.Beckham,0,-2,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
460,O.Beckham,0,0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0
469,S.Barkley,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
472,W.Gallman,0,10,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
474,O.Beckham,0,0,33.0,,0.0,0.0,0.0,0.0,0.0,0.0
476,O.Beckham,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,E.Engram,0,13,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
482,K.Cole,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
485,S.Barkley,0,0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0
486,E.Engram,0,5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
488,K.Cole,0,13,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
490,T.Yeldon,0,0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0
492,D.Moncrief,0,0,21.0,,0.0,0.0,0.0,0.0,0.0,0.0
495,S.Shepard,0,10,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
496,O.Beckham,0,0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0
497,E.Engram,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
498,O.Beckham,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
500,A.Seferian-Jenkins,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
502,J.O'Shaughnessy,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
505,T.Yeldon,0,10,-4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
507,E.Engram,0,0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0
509,S.Barkley,0,18,-9.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0
512,S.Barkley,0,0,-3.0,,0.0,0.0,0.0,0.0,0.0,0.0
514,O.Beckham,0,13,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
516,D.Moncrief,0,14,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
518,T.Yeldon,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
519,D.Moncrief,0,0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0
522,S.Barkley,1,0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0
524,O.Beckham,0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,A.Seferian-Jenkins,0,9,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
531,A.Seferian-Jenkins,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
533,O.Beckham,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,S.Barkley,0,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
540,D.Westbrook,0,4,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
541,J.O'Shaughnessy,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
543,T.Yeldon,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
544,A.Seferian-Jenkins,0,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
546,O.Beckham,0,21,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
548,O.Beckham,0,19,16.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
549,S.Shepard,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
552,E.Engram,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
553,S.Shepard,0,0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0
565,T.Ginn,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,A.Kamara,0,35,3.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
568,M.Thomas,0,14,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
574,D.Jackson,0,7,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
577,D.Jackson,1,58,38.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0
582,M.Thomas,0,11,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
583,T.Ginn,0,11,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
584,T.Smith,0,0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0
585,B.Watson,0,11,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
588,M.Thomas,0,7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
589,A.Kamara,0,0,17.0,,0.0,0.0,0.0,0.0,0.0,0.0
594,C.Brate,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
595,C.Godwin,0,16,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
596,M.Evans,0,21,17.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
600,T.Ginn,0,9,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
602,M.Thomas,0,35,14.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0
604,T.Ginn,1,28,28.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
607,C.Godwin,0,16,13.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
610,O.Howard,0,35,19.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0
614,C.Brate,0,0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0
617,Z.Line,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
618,M.Thomas,0,6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
622,A.Humphries,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
623,M.Evans,0,12,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
624,O.Howard,0,19,17.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
625,M.Evans,0,15,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
628,J.Rodgers,0,2,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
631,C.Godwin,1,9,9.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
636,M.Thomas,0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,A.Kamara,0,18,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
638,M.Thomas,0,6,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
641,A.Kamara,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
642,A.Kamara,0,23,4.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0
645,A.Kamara,0,9,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
647,M.Thomas,1,6,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
656,M.Evans,0,10,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
658,D.Jackson,0,10,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
659,A.Humphries,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,M.Evans,0,32,19.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
663,A.Cross,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
664,F.Martino,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
668,A.Kamara,0,-1,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
670,A.Carr,0,11,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
674,C.Godwin,0,0,36.0,,0.0,0.0,0.0,0.0,0.0,0.0
676,M.Thomas,0,11,12.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
678,A.Kamara,0,7,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
679,M.Thomas,0,0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0
680,M.Thomas,0,5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
682,A.Humphries,0,20,-3.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0
685,M.Evans,1,50,36.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0
689,A.Kamara,0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,J.Hill,0,15,-6.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0
691,M.Thomas,0,6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
692,M.Thomas,0,19,11.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
695,A.Humphries,0,4,-3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
696,M.Evans,0,7,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
697,A.Humphries,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
701,D.Jackson,1,36,36.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
704,A.Carr,0,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,B.Watson,0,6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
706,B.Watson,0,21,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
709,A.Kamara,0,6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
710,T.Ginn,0,0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0
711,A.Kamara,0,0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0
712,B.Watson,0,6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
714,M.Thomas,0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,D.Jackson,0,35,27.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
727,M.Thomas,0,13,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
728,T.Ginn,0,16,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
729,M.Thomas,0,21,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
730,M.Thomas,0,9,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
731,A.Kamara,1,7,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0
733,T.Ginn,1,2,,,0.0,0.0,0.0,0.0,0.0,0.0
749,R.Burkhead,0,0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0
