rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
S.Barkley,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Stewart,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
B.Bortles,0,41,,,1.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,1,68,,,1.0,0.0,0.0,1.0,0.0,1.0
S.Barkley,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
E.Manning,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Stewart,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
B.Bortles,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
B.Bortles,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Ginn,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,1,5,,,1.0,0.0,0.0,1.0,0.0,1.0
P.Barber,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,1,,,1.0,0.0,0.0,0.0,0.0,0.0
M.Gillislee,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
J.Williams,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,23,,,1.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,1,3,,,1.0,0.0,0.0,1.0,0.0,1.0
M.Gillislee,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Gillislee,1,2,,,0.0,0.0,1.0,1.0,0.0,0.0
A.Kamara,0,8,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Rodgers,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Rodgers,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Wilson,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
