,rusher_player_name,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
138,J.Ajayi,,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
139,J.Ajayi,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
140,N.Agholor,,0,16,,,1.0,0.0,0.0,0.0,0.0,0.0
141,,D.Goedert,0,0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0
142,,J.Jones,0,18,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
143,T.Coleman,,1,9,,,1.0,0.0,0.0,1.0,0.0,1.0
144,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
145,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
146,J.Ajayi,,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
147,J.Ajayi,,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
148,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
149,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
150,,Z.Ertz,0,0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0
151,,,0,0,,,,,,,,
152,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
153,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
154,,M.Sanu,0,-5,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,,,0,-3,,,0.0,0.0,1.0,0.0,0.0,0.0
156,,D.Freeman,0,14,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
157,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
158,,N.Agholor,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,,M.Wallace,0,0,46.0,,0.0,0.0,0.0,0.0,0.0,0.0
160,,D.Sproles,0,9,-1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
161,,D.Sproles,0,6,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
162,J.Ajayi,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
163,C.Clement,,0,21,,,1.0,0.0,0.0,0.0,0.0,0.0
164,C.Clement,,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
165,J.Ajayi,,1,11,,,1.0,0.0,0.0,1.0,0.0,1.0
166,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
167,J.Ajayi,,1,2,,,0.0,0.0,0.0,0.0,0.0,0.0
168,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
169,,A.Hooper,0,6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,,J.Jones,0,36,19.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
171,,,0,0,,,,,,,,
172,,T.Coleman,0,0,-10.0,,0.0,0.0,0.0,0.0,0.0,0.0
173,,,0,-7,,,0.0,0.0,0.0,0.0,0.0,0.0
174,,J.Jones,0,18,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
176,,J.Jones,0,9,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
177,,,0,-7,,,0.0,0.0,0.0,0.0,0.0,0.0
178,,M.Sanu,0,10,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
179,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
180,,,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
181,,J.Jones,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
182,,,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
183,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
184,,J.Jones,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
185,,,0,0,,,,,,,,
186,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
187,,N.Boyle,0,25,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
188,,N.Boyle,0,11,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
189,J.Flacco,,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
190,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
191,,J.Brown,0,29,27.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
192,,M.Crabtree,0,0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0
193,,M.Andrews,0,11,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
194,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
195,L.Jackson,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
196,,N.Boyle,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,J.Flacco,,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
198,A.Collins,,1,8,,,1.0,0.0,0.0,1.0,0.0,1.0
199,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
200,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
201,L.McCoy,,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
202,,L.McCoy,0,0,-8.0,,0.0,0.0,0.0,0.0,0.0,0.0
203,,,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
204,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
205,J.Brown,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
206,,M.Crabtree,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
207,,W.Snead,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
208,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
209,,J.Kerley,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
210,,J.Kerley,0,3,-7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
211,,K.Benjamin,0,0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
213,A.Collins,,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
214,,M.Crabtree,0,0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0
215,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
216,,W.Snead,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
217,,M.Andrews,0,12,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
218,A.Collins,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
219,,W.Snead,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,,J.Allen,0,11,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
221,,M.Williams,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,,J.Brown,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
223,,J.Brown,1,7,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
224,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
225,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
226,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
227,,,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
228,M.Murphy,,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
229,,,0,0,,,,,,,,
230,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
231,M.Murphy,,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
232,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
233,,N.Boyle,0,0,-5.0,,0.0,0.0,0.0,0.0,0.0,0.0
234,A.Collins,,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
235,,N.Boyle,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
236,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
237,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
238,,J.Kerley,0,4,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
239,L.McCoy,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
240,,K.Benjamin,0,0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0
241,,Z.Jones,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
242,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
243,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
244,A.Collins,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
245,,N.Boyle,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
246,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
247,A.Collins,,0,-5,,,0.0,0.0,1.0,0.0,0.0,0.0
248,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
249,,K.Benjamin,0,0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0
250,L.McCoy,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
251,,,0,-5,,,0.0,0.0,0.0,0.0,0.0,0.0
252,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
253,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
254,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
255,,M.Williams,0,7,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
256,,J.Allen,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,,C.Moore,0,5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
258,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
259,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
260,,K.Benjamin,0,10,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,,M.Murphy,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
262,,K.Benjamin,0,0,26.0,,0.0,0.0,0.0,0.0,0.0,0.0
263,,J.Allen,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
264,J.Allen,,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
265,,J.Allen,0,4,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
266,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
267,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
268,L.McCoy,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
269,,L.McCoy,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
270,N.Peterman,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
271,,,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
272,,M.Crabtree,0,6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
