,rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
571,A.Kamara,1,5,,,1.0,0.0,0.0,1.0,0.0,1.0
575,P.Barber,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
576,R.Fitzpatrick,0,1,,,1.0,0.0,0.0,0.0,0.0,0.0
580,M.Gillislee,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
581,A.Kamara,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
586,A.Kamara,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
587,J.Williams,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
592,P.Barber,0,23,,,1.0,0.0,0.0,0.0,0.0,0.0
593,P.Barber,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
597,R.Fitzpatrick,1,3,,,1.0,0.0,0.0,1.0,0.0,1.0
601,M.Gillislee,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
608,P.Barber,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
609,P.Barber,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
611,R.Fitzpatrick,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
612,P.Barber,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
621,P.Barber,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
626,R.Fitzpatrick,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
627,P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
630,R.Fitzpatrick,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
634,M.Gillislee,1,2,,,0.0,0.0,1.0,1.0,0.0,0.0
639,A.Kamara,0,8,,,1.0,0.0,0.0,0.0,0.0,0.0
644,A.Kamara,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
651,J.Rodgers,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
653,R.Fitzpatrick,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
657,P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
662,P.Barber,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
667,A.Kamara,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
672,P.Barber,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
673,R.Fitzpatrick,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
683,J.Rodgers,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
684,R.Fitzpatrick,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
693,P.Barber,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
698,S.Wilson,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
715,A.Kamara,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
716,A.Kamara,1,2,,,0.0,0.0,0.0,0.0,0.0,0.0
718,P.Barber,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
719,P.Barber,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
721,P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
722,P.Barber,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
724,P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
735,P.Barber,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
736,P.Barber,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
737,R.Fitzpatrick,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
739,R.Fitzpatrick,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
740,R.Fitzpatrick,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
741,R.Fitzpatrick,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
744,R.Burkhead,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
745,J.White,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
746,J.White,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
748,D.Watson,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
750,C.Patterson,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
755,L.Miller,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
761,R.Burkhead,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
766,L.Miller,0,31,,,1.0,0.0,0.0,0.0,0.0,0.0
767,D.Watson,0,13,,,1.0,0.0,0.0,0.0,0.0,0.0
769,L.Miller,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
772,R.Burkhead,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
773,R.Burkhead,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
777,L.Miller,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
786,R.Burkhead,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
789,T.Brady,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
790,R.Burkhead,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
791,C.Patterson,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
795,L.Miller,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
799,A.Blue,0,9,,,1.0,0.0,0.0,0.0,0.0,0.0
800,L.Miller,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
812,L.Miller,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
814,L.Miller,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
816,J.Hill,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
820,L.Miller,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
821,L.Miller,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
822,D.Watson,0,4,,,1.0,0.0,0.0,0.0,0.0,0.0
823,L.Miller,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
827,L.Miller,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
832,J.Hill,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
833,J.Hill,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
835,R.Burkhead,0,1,,,0.0,0.0,1.0,0.0,0.0,0.0
843,D.Watson,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
846,D.Hopkins,0,-7,,,0.0,0.0,0.0,0.0,0.0,0.0
850,J.Hill,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
853,L.Miller,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
